freq_hz,mag_db
102.172852,38.10
102.355957,37.27
102.539062,34.88
102.722168,27.69
102.905273,28.69
103.088379,36.56
103.271484,37.69
103.454590,33.56
103.637695,16.69
103.820801,34.42
104.003906,36.85
104.187012,36.38
104.370117,38.18
104.553223,41.50
104.736328,44.04
104.919434,45.45
105.102539,45.53
105.285645,43.87
105.468750,41.05
105.651855,40.26
105.834961,40.15
106.018066,37.81
106.201172,37.74
106.384277,40.85
106.567383,41.88
106.750488,41.27
106.933594,39.51
107.116699,34.21
107.299805,25.05
107.482910,38.13
107.666016,40.91
107.849121,41.50
108.032227,43.52
108.215332,45.97
108.398438,46.99
108.581543,46.79
108.764648,46.36
108.947754,46.36
109.130859,46.37
109.313965,45.45
109.497070,43.11
109.680176,40.68
109.863281,41.95
110.046387,43.40
110.229492,43.50
110.412598,43.54
110.595703,44.19
110.778809,45.17
110.961914,45.88
111.145020,45.07
111.328125,42.08
111.511230,41.58
111.694336,45.28
111.877441,46.91
112.060547,46.65
112.243652,45.62
112.426758,44.83
112.609863,44.31
112.792969,42.89
112.976074,40.18
113.159180,42.33
113.342285,46.46
113.525391,48.17
113.708496,47.66
113.891602,45.71
114.074707,44.52
114.257812,45.19
114.440918,46.33
114.624023,47.34
114.807129,47.61
114.990234,46.36
115.173340,43.87
115.356445,45.22
115.539551,47.96
115.722656,48.26
115.905762,46.42
116.088867,44.97
116.271973,45.19
116.455078,44.35
116.638184,45.03
116.821289,47.69
117.004395,48.74
117.187500,48.66
117.370605,48.88
117.553711,48.67
117.736816,47.77
117.919922,47.84
118.103027,48.25
118.286133,48.00
118.469238,48.16
118.652344,48.78
118.835449,49.40
119.018555,50.30
119.201660,50.69
119.384766,50.15
119.567871,49.64
119.750977,49.20
119.934082,48.26
120.117188,48.63
120.300293,49.63
120.483398,49.11
120.666504,48.08
120.849609,48.51
121.032715,48.99
121.215820,48.98
121.398926,49.30
121.582031,49.63
121.765137,49.47
121.948242,49.03
122.131348,49.05
122.314453,49.64
122.497559,49.94
122.680664,49.87
122.863770,49.92
123.046875,49.92
123.229980,50.05
123.413086,50.40
123.596191,49.87
123.779297,48.76
123.962402,49.23
124.145508,50.10
124.328613,50.41
124.511719,51.05
124.694824,51.44
124.877930,51.04
125.061035,50.59
125.244141,50.26
125.427246,49.73
125.610352,49.88
125.793457,50.34
125.976562,49.97
126.159668,49.29
126.342773,49.32
126.525879,49.35
126.708984,48.94
126.892090,48.62
127.075195,48.40
127.258301,47.89
127.441406,47.88
127.624512,48.50
127.807617,48.25
127.990723,47.04
128.173828,46.50
128.356934,46.57
128.540039,46.36
128.723145,46.05
128.906250,45.00
129.089355,43.73
129.272461,44.29
129.455566,44.27
129.638672,43.13
129.821777,43.74
130.004883,44.16
130.187988,42.46
130.371094,41.39
130.554199,42.19
130.737305,41.86
130.920410,41.65
131.103516,42.29
131.286621,41.38
131.469727,38.45
131.652832,38.44
131.835938,39.58
132.019043,37.03
132.202148,35.54
132.385254,39.28
132.568359,39.70
132.751465,38.24
132.934570,37.78
133.117676,36.16
133.300781,33.80
133.483887,33.74
133.666992,30.95
133.850098,29.34
134.033203,31.36
134.216309,28.66
134.399414,29.32
134.582520,30.74
134.765625,29.60
134.948730,31.68
135.131836,30.53
135.314941,24.57
135.498047,28.73
135.681152,29.05
135.864258,28.23
136.047363,29.20
136.230469,22.74
136.413574,24.11
136.596680,29.74
136.779785,25.50
136.962891,25.44
137.145996,29.32
137.329102,26.21
137.512207,25.02
137.695312,26.80
137.878418,24.33
138.061523,22.44
138.244629,17.87
138.427734,25.41
138.610840,29.94
138.793945,29.33
138.977051,25.07
139.160156,23.98
139.343262,28.73
139.526367,31.25
139.709473,30.77
139.892578,28.74
140.075684,25.36
140.258789,21.95
140.441895,27.94
140.625000,29.94
140.808105,30.53
140.991211,31.47
141.174316,29.64
141.357422,26.15
141.540527,27.05
141.723633,27.70
141.906738,29.19
142.089844,28.24
142.272949,28.45
142.456055,32.56
142.639160,31.98
142.822266,28.90
143.005371,31.71
143.188477,29.79
143.371582,11.10
143.554688,30.17
143.737793,31.17
143.920898,31.44
144.104004,34.03
144.287109,33.02
144.470215,28.15
144.653320,25.69
144.836426,28.07
145.019531,30.72
145.202637,29.30
145.385742,21.91
145.568848,30.28
145.751953,32.15
145.935059,30.17
146.118164,31.16
146.301270,32.02
146.484375,30.78
146.667480,30.21
146.850586,28.68
147.033691,27.70
147.216797,29.65
147.399902,28.06
147.583008,18.76
147.766113,7.27
147.949219,17.54
148.132324,26.27
148.315430,27.57
148.498535,23.17
148.681641,20.21
148.864746,22.35
149.047852,18.67
149.230957,18.25
149.414062,20.41
149.597168,23.10
149.780273,25.23
149.963379,28.14
150.146484,30.86
150.329590,29.74
150.512695,21.20
150.695801,20.43
150.878906,21.70
151.062012,14.50
151.245117,27.70
151.428223,29.46
151.611328,24.45
151.794434,16.89
151.977539,26.56
152.160645,26.83
152.343750,19.91
152.526855,8.75
152.709961,11.63
152.893066,20.71
153.076172,28.33
153.259277,28.72
153.442383,23.05
153.625488,15.75
153.808594,7.58
153.991699,26.33
154.174805,31.95
154.357910,31.61
154.541016,26.20
154.724121,30.78
154.907227,33.27
155.090332,30.95
155.273438,20.51
155.456543,21.84
155.639648,27.79
155.822754,29.79
156.005859,29.77
156.188965,28.20
156.372070,22.88
156.555176,23.36
156.738281,26.87
156.921387,26.89
157.104492,27.94
157.287598,26.08
157.470703,20.70
157.653809,27.92
157.836914,29.53
158.020020,26.00
158.203125,25.52
158.386230,24.29
158.569336,21.47
158.752441,27.49
158.935547,27.43
159.118652,15.16
159.301758,27.85
159.484863,30.72
159.667969,26.16
159.851074,14.02
160.034180,25.45
160.217285,22.91
160.400391,11.35
160.583496,24.62
160.766602,25.53
160.949707,21.79
161.132812,27.33
161.315918,31.28
161.499023,30.80
161.682129,29.15
161.865234,30.80
162.048340,29.59
162.231445,24.12
162.414551,27.20
162.597656,28.90
162.780762,29.87
162.963867,31.47
163.146973,30.35
163.330078,24.56
163.513184,14.21
163.696289,24.54
163.879395,23.98
164.062500,20.76
164.245605,24.32
164.428711,21.02
164.611816,15.62
164.794922,25.79
164.978027,23.16
165.161133,12.76
165.344238,25.73
165.527344,25.66
165.710449,20.96
165.893555,24.17
166.076660,24.64
166.259766,19.53
166.442871,23.54
166.625977,26.51
166.809082,25.00
166.992188,20.33
167.175293,18.89
167.358398,24.36
167.541504,27.67
167.724609,23.15
167.907715,20.09
168.090820,26.86
168.273926,21.00
168.457031,29.63
168.640137,33.37
168.823242,30.59
169.006348,28.51
169.189453,31.03
169.372559,27.36
169.555664,22.67
169.738770,24.84
169.921875,22.09
170.104980,28.89
170.288086,30.51
170.471191,28.16
170.654297,15.91
170.837402,28.14
171.020508,31.33
171.203613,27.06
171.386719,26.84
171.569824,30.18
171.752930,25.61
171.936035,21.05
172.119141,22.47
172.302246,4.77
172.485352,22.81
172.668457,22.99
172.851562,25.16
173.034668,24.84
173.217773,26.56
173.400879,30.77
173.583984,28.94
173.767090,13.78
173.950195,22.14
174.133301,18.44
174.316406,15.56
174.499512,18.09
174.682617,17.35
174.865723,27.11
175.048828,26.68
175.231934,10.80
175.415039,25.04
175.598145,25.77
175.781250,11.66
175.964355,26.40
176.147461,29.18
176.330566,27.41
176.513672,25.12
176.696777,19.68
176.879883,23.58
177.062988,27.35
